Question,Answer,Source
dApps,"A decentralized application is a computer application that runs on a decentralized computing system. DApps have been popularized by distributed ledger technologies such as the Ethereum blockchain, through the use of smart contracts.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Decentralized,"No unique owner, operator, or single point of failure.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
DeFi,"Decentralized finance is a blockchain-based form of finance that does not rely on central financial intermediaries such as brokerages, exchanges, or banks to offer traditional financial instruments. Instead, it utilizes smart contracts on blockchains (e.g., Ethereum).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Degen,"Degenerate, a user who engages in complex strategies (often in DeFi) to enhance the probability of profit.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
DEX,"Decentralized Exchange, an on-chain program for buying, selling, trading, or swapping on-chain assets.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
"Diamond Hands, ????",Holding onto ones tokens/assets despite external market conditions.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Discord,A community-management platform that allows for sharing information across a network of individuals. Commonly used to manage crypto communities.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Drop,(see Airdrop),https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Due Diligence,"Research performed on a particular project, token, NFT, or dApp (often referred to as DD).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
DYOR,Do your own research.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Eat Glass,Term used to describe developers treading new territory and grinding through new or difficult content.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
EIP,Ethereum Improvement Proposals represent decision making protocols for Ethereum protocols and standards.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Endpoint,The network-specific address of a server that is used to make requests to a blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ENS,Ethereum Naming Service.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Epoch,A period of time defined by a blockchain in which new blocks are created.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ERC,Ethereum Request for Comments is an application level standard application level standards for Ethereum (e.g. ERC-20 is a common protocol for deploying fungible tokens on Ethereum).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Escrow,A type of on-chain smart contract wallet where assets are stored and held until certain conditions are met.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ETH,"Ether, the native cryptocurrency on the Ethereum blockchain. ETH is used to pay for transaction fees.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Ethereum,"An open-source and decentralized layer 1 blockchain, which was founded in 2015. Its native cryptocurrency is ETH, which is used for staking and paying transaction fees. Its networks include Ethereum Mainnet, Ropsten Testnet, Rinkeby Testnet, Kovan Testnet and Goerli Testnet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
EVM,"Ethereum Virtual Machine defines the rules for computing on Ethereum, enabling developers to launch and execute smart contracts.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Exchange,"A business that allows customers to trade cryptocurrencies or digital currencies for other assets, such as conventional fiat money or other digital currencies.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Fantom,"A layer 1 blockchain founded in 2018 that is built on Proof of Stake (PoS), using an asychronous consesus mechanism to support scalability and security. It's native token is called FTM. Its primary network is MainNet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
FDV,"Fully Diluted Valuation, calculated by multiplying the current market price of a token by its max supply.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Fiat,"Fiat money is a type of money that is not backed by any commodity such as gold or silver, and typically declared by a decree from the government to be legal tender.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Flip/Flippen,When a token or asset passes the market cap of another more established asset (commonly referred to in the idea of Ethereum flippening Bitcoin).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
FOMO,Fear of Missing Out.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Fork,A change to a blockchain or program's protocol that results in two blockchains or programs sharing a common previous history.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Fractionalization,The process of sub-dividing an asset into multiple pieces. Commonly used for dividing a single non-fungible token into many fungible tokens (that collectively represent the original NFT).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Frens,Friends.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
FUD,"Fear, Uncertainty and Doubt.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Full Nodes,Support the network by storing full blockchain data and serving it upon request.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Fungible Token,An on-chain asset that has a quantity greater than 1 and those assets have no discernable or unique traits that differentiate one from another.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Gas,The cost associated with computational effort required to perform a transaction on a blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Generative Art,Combination of art and code that uses randomization and algorithms to generate a set of unique designs with varying rarity based on a common set of initial designs or design layers.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
GM,Good morning.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
GMI,Gonna Make It.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Gnosis,"A layer 2 stable payments blockchain founded in 2017, designed for fast and inexpensive transactions. Any contract that works on the Ethereum mainnet can be redeployed to the Gnosis chain. It's primary network is MainNet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Gwei,1 billionth of an Ether.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Hackathon/Hacker House,In-person meeting of developers and other community members to work collaboratively to solve one or more common objectives.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Harmony,"A layer one blockchain, launched in 2019, whose purpose is to provide an efficient, secure and scalable blockchain through their Effective Proof of Stake mechansim. Its token is called ""One"" and networks include the Mainnet and Testnet.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Hash Rate,Amount of computing power being used by a Proof of Work network.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Hashing,Compression of on-chain data.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
HODL,"""Hold"" or maintain a position.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Hot Wallet,"A wallet that is networked or connected to the internet in some way (mobile, web).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
ICO,"Initial Coin Offering or Initial Currency Offering is a type of funding using cryptocurrencies. It is often a form of crowdfunding, although a private ICO which does not seek public investment is also possible.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
IDO,Initial DEX Offering.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
IP,Intellectual Property.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
IRL,"An abbreviation for the term, in real life.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
IYKYK,"If you know, you know.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Lamport,The smallest denomination of a SOL (1 billionth of 1 SOL).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Layer 1,"A main network that refers to a blockchain that defines protocol rules (e.g. Bitcoin, Ethereum, Solana).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Layer 2,"A program or technology that exists on top of a Layer 1 blockchain, often created to accomplish something that may not be easily achievable by its parent layer 1 (e.g. increase speed or functionality).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
LFG,Let's F*N go!,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Light Nodes,"Do not have the entirety of the current blockchain state and depends on a full node, useful for low memory and computational devices.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Liquidity,A measure for how easily an asset can be converted to another (usually cash but also common for Layer 1 tokens).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Liquidity Pool,A smart contract that facilitates a decentralized funded pooling of multiple assets to ensure those assets can easily be traded for each other.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Liquidity Provider,"A person or entity that deposits one or more assets to a liquidity pool, often in exchange for some type of earned benefit (e.g. fee collection, token drop).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Looks Rare,Rarity is often a driver of value in this space. Used ironically.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Market Cap,Market cap is calculated by multiplying the current price of a token by its circulating supply.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Merkle Trees,A data structure used in blockchains to ensure data is encoded securely and can be efficiently utilized.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Metaverse,A network of 3D virtual worlds.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Mining,The process of performing cryptographic computations to solve a problem first in exchange for token rewards. Used in Proof-of-Work chains.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Mint,To manifest new tokens onto a blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Moon,Refers to a strong belief that certain cryptocurrency is soon going to rise significantly in price.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Multi-Party Computation,"This is done by randomizing the individual secrets. There are always more than 3 endpoints across servers or mobile devices and those secrets are never shared. The endpoints participate in a decentralized wallet creation protocol and the public key that corresponds to the set of the individual private shares (3) gets computed. Whenever a signature is requested for a tx, the quorum (of endpoints, will be 3 or more) are a part of a distributed signature process where each endpoint validates the transaction and policy and then signs the transaction. (More info)",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Multi-Sig,"Like MPC, Multi-Sig eliminates a single point of failure but the issues with Multi-Sig lie in interoperability and being protocol agnostic. Not all cryptocurrencies or DAOs support Multi-Sig as each protocol requires a wallet provider to implement different code. New wallets would need to be created to modify quorums and refresh any keys. This was established when it was just BTC as a currency that was around, and has posed different challenges for different protocol layers. Due to some of the limitations with Multi-Sig it can be difficult to securely support new assets and the management of multiple implementations across different chains can be difficult to stay on top of. (More info)",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
NFA,Not financial advice.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
NFT,"An on-chain asset that has a quantity of 1, which has unique traits that differentiate it from any other.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
NGMI,Not gonna make it.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Node,A server or computer running blockchain-specific software used for connecting to and interacting with that blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Non-Custodial Wallet,"A wallet that is fully controlled by the user (whether an end user or institutional user) making the user responsible for the security of the wallet, private keys, and assets stored in the wallet.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Optimism,"A layer two blockchain, functioning on top of Ethereum, which was founded in 2019 with the intent of processing transactions quicker and less expensive. Optimism?? networks include Mainnet, Goerli and Kovan, though Kovan is planned to be deprecated after August 15th, 2022.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
P2E,"Play to Earn, concept in gaming that rewards users with some value in exchange for completing certain in-game tasks.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
PFP,Profile picture.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Polygon,A layer 2 blockchain founded in 2020 built on the Proof of Stake (PoS) consensus mechanism. The native token on Polygon is called MATIC and is used for staking and paying transaction fees. Its networks include the Polygon mainnet and Mumbai testnet (Supported by QuickNode!).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Private Key,"A private key is a secret number that is used in cryptography, similar to a password. In cryptocurrency, private keys are also used to sign transactions and prove ownership of a blockchain address.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Proof of Authority,"PoA, In PoA-based networks, transactions and blocks are validated by approved accounts, known as validators.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Proof of History,"PoH, A consensus mechanism that relies on an internal clock to track the passage of time.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Proof of Stake,"PoS, a cryptocurrency consensus mechanism for processing transactions and creating new blocks in a blockchain.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Proof of Work,"PoW, a form of adding new blocks of transactions to a cryptocurrency's blockchain. The work, in this case, is generating a hash (a long string of characters) that matches the target hash for the current block. The crypto miner who does this wins the right to add that block to the blockchain and receive rewards.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Public Key,A unique cryptographic public identifier for an on-chain account.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Pump and Dump,Scheme by which market manipulators systematically inflate the price (pumping) of a cryptocurrency or NFT (often through the use of misleading social media campaigns) with the intent of selling (dumping) the asset and taking quick profits.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Rent,The cost to store data on a blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
RPC,Remote Procedure Call. Effectively a service that connects a client (or user) to a server (or blockchain).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Rug,A crypto project that acts unethically towards its community. Most commonly interpreted as abandoning a project with all community funds.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Satoshi,The smallest denomination of Bitcoin (100M Satoshis equal 1 Bitcoin). Named after Satoshi Nakomoto (Bitcoin founder).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Seed Phrase,"Derived in 2013, this was invented as a way to translate access keys into words and the mnemonic phrase was born. A seed phrase is a master access key to your cryptocurrency wallet. Seed phrases also serve as a backup of your wallet. The seed phrase represents both access key and instruction for the wallet on how and which accounts to set up.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Ser,"""Sir"". It is a way to respectfully introduce oneself or perhaps share an alternative point of view.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
SHA-256,Cyrptographic encryption type that translates data into a 256 bit value.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Sharding,The process of splitting a blockchain into multiple smaller pieces. Each piece is called a 'shard'.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Shill,A person or group of people promoting a particular cryptocurrency to create excitement for it.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Sidechain,A separate blockchain network that runs in parallel to a main chain and allows for exchanges with the main chain via a 2-way peg.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Slippage,The difference in price between the expected price of a trade and the actual execution price of that trade.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Smart Contract,On-chain programs with pre-defined rules to govern how users and tokens interact with program when certain conditions are met.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Smart Contract Wallet,"these wallets are accessed and controlled via smart contract code and two types are supported; externally owned accounts that are accessed via a private key or seed phrase and contract accounts that are controlled via smart contract. These are more similar to a traditional finance app and include features such as; multi-signature authorization, account freezing, transaction limits, 2FA, allow listing, and guardians.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
SOL,"Solana, the primary cryptocurrency on Solana blockchain.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Solana,"A layer 1 blockchain founded in 2020 that is built on a concept called Proof of History (PoH) to enable scaling and affordability. Its native token is called SOL. Its network include Mainnet-Beta, Testnet, and Devnet (Supported by QuickNode!).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Solidity,"Solidity is an object-oriented programming language for writing smart contracts. It is used for implementing smart contracts on various blockchain platforms, most notably, Ethereum.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
SPL,"Solana Program Library, which includes the on-chain Solana Token Program among others.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Stable Coin,"Cryptocurrencies where the price is designed to be pegged to a cryptocurrency, fiat money, or to exchange-traded commodities.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Staking,"The process of locking digital assets on-chain, usually in exchange for earning some type of incentive (e.g. interest, token yield, etc.). Staking often comes with some type of risk--in proof-of-stake, validators' stake is at risk if the validator confirms illegitimate transactions.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Terra,"An open-source blockchain created in 2018 that utilizes the Proof-of-Stake consensus. In May, 2022, a new Terra chain emerged with the new Pheonix-1 Main network launching on May 27.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Token,Virtual currency token or a denomination of a cryptocurrency. It represents a tradable asset or utility that resides on its own blockchain and allows the holder to use it for investment or economic purposes.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Tokenomics,"The economic details of a token project, including information about supply, inflation/deflation, or other mechanisms that may impact the value of an asset in the future.",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
TPS,Transactions Per Second.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Transaction,A user-signed event on-chain that calls one or more on-chain programs to be executed.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
TVL,Total Value Locked.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Up only,A term commonly used to portray that a project or cryptocurrency will continue to succeed.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Utility,Often used to describe the functionality of a cryptocurrency or NFT.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Validator,A server that participates in a blockchain's consensus mechanism. Validators are responsible for processing transactions and verifying the state of a blockchain.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
WAGMI,We're all gonna make it / We are gonna make it.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Wallet,A crypto wallet is used to sign transactions and store the private keys that are used to interact with the blockchain network. A wallet contains a public key (this is the wallet address) and the private keys needed to complete and sign transactions. Control of the private key means control of the assets.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Web3,"Web3, also known as Web 3.0, is an idea for a new iteration of the World Wide Web that incorporates decentralization and self-custody of assets. It is often contrasted with Web 2.0, wherein data and content are centralized in a small group of companies sometimes referred to as ""Big Tech"".",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Wei,The smallest denomination of Ether (there are 1e18 wei in 1 Ether).,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
wen,"When. Often used ironically to prod a when something significant might happen for a project (e.g., wen mint? wen airdrop? wen moon?).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Whale,An individual or entity holding a large amount of a cryptocurrency that can impact market prices.,https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
Whitelist,"Pre-approved list of users or wallets that are allowed to participate in some type of event (e.g., mint a new NFT or partipicate in an IDO).",https://www.quicknode.com/guides/web3-fundamentals-security/web3-glossary
What are some concensus mechanisms?,"1. PoW: Proof of Work is the first and most recognizable consensus mechanism developed by Bitcoin's founder Satoshi Nakamoto. In PoW, miners compete with each other to find the transaction hash, and the miner who finds the hash first is allowed to add the transaction to a block and then mine the block. The process of finding the block hash is very computation-intensive; having a high hash rate is aimed by the miners and thus generates more rewards.

2. PoS: PoW requires enormous electricity due to intense computational requirements to catch the hash. In Proof of Stake, miners/validators stake their tokens and are allowed to mine/validate transactions. A miner doesn't have to compete with each other; a miner is chosen randomly to mine the transaction hash. Usually, the higher the number of tokens staked, the higher the chances for a miner to get selected. Ethereum will be moving to a PoS consensus model from its current PoW consensus model, with Ethereum 2.0 now known as Ethereum upgrades.

3. DPoS: Delegate Proof of Stake is a variation of PoS; in this mechanism, all the token holders can collectively choose to elect a list of nodes to mine blocks. Token holders can also vote on network changes, etc. This gives all token holders ownership of the network.

4. PoH: Proof of History came into existence because of Solana; it cryptographically verifies the passage of time between two events using a sequence of computations. It uses a cryptographically secure function input must be executed entirely to generate output, and the output cannot be determined from the input.",https://www.quicknode.com/guides/web3-fundamentals-security/blockchain-consensus-mechanisms
What is a Consensus Mechanism?,"Blockchains are decentralized, so no single entity is allowed to set the truth. All the participating entities (computers) usually do not know each other; thus, determining who is telling the truth or has the correct set of data becomes difficult. This is where a consensus mechanism is required, which helps these computers agree on the truth.

There are different types of consensus mechanisms that have been developed; each has its unique properties and tradeoffs in terms of how secure the agreement is and who gets to vote on what. The general purpose of a consensus mechanism is to manage which participant in the network gets to set the state of truth which everyone else follows and agrees on.",https://www.quicknode.com/guides/web3-fundamentals-security/blockchain-consensus-mechanisms
